7a9d578 | NTT1906 | Tue Jul 7 18:58:30 2026 +0700 | upload scripts
e185db6 | NTT1906 | Tue Jul 7 18:58:11 2026 +0700 | upload FR20 bugs & tests
ce2f3ef | NTT1906 | Tue Jul 7 18:57:14 2026 +0700 | update frontend-mobile server ip
69b5b8a | NTT1906 | Tue Jul 7 16:52:07 2026 +0700 | Upload playwright script
be2f281 | NTT1906 | Tue Jul 7 16:51:44 2026 +0700 | Test and bug report FR14
7c89846 | NTT1906 | Tue Jul 7 16:51:17 2026 +0700 | Test and bug report FR11
e6b3466 | NTT1906 | Tue Jul 7 14:17:09 2026 +0700 | Upload SKILLS.md, WORKFLOW.md and FEATURE_INPUT.md
dbce40a | NTT1906 | Tue Jul 7 14:14:50 2026 +0700 | Upload tests and bugs report of FR1
8bff042 | NTT1906 | Tue Jul 7 14:13:56 2026 +0700 | Add playwright support
1bd9805 | hetoke | Mon Jun 22 22:02:51 2026 +0700 | config: database should not be pushed and and tested availablity when running with node v24.17.0 (npm v11.13.0)
327c3e5 | hetoke | Mon Jun 22 21:52:05 2026 +0700 | config: fix run script and .gitignore
85af3ba | ttbhanh-hcmus | Fri May 15 08:30:35 2026 +0700 | first upload
2f9bf2b | Hanh Tran | Fri May 15 08:27:44 2026 +0700 | Initial commit
