product_id,product_name,product_price,quantity
1,iPhone 15 Pro Max,30000000,1
2,Samsung Galaxy S24 Ultra,28000000,1
3,MacBook Pro M3,45000000,1
4,Tai nghe AirPods Pro 2,6000000,2
5,Bàn phím cơ Keychron Q1,4000000,1
1,iPhone 15 Pro Max,30000000,2
2,Samsung Galaxy S24 Ultra,28000000,2
3,MacBook Pro M3,45000000,1
4,Tai nghe AirPods Pro 2,6000000,3
5,Bàn phím cơ Keychron Q1,4000000,2
1,iPhone 15 Pro Max,30000000,1
3,MacBook Pro M3,45000000,1
4,Tai nghe AirPods Pro 2,6000000,1
5,Bàn phím cơ Keychron Q1,4000000,3
2,Samsung Galaxy S24 Ultra,28000000,1
1,iPhone 15 Pro Max,30000000,1
2,Samsung Galaxy S24 Ultra,28000000,1
3,MacBook Pro M3,45000000,1
4,Tai nghe AirPods Pro 2,6000000,1
5,Bàn phím cơ Keychron Q1,4000000,1
1,iPhone 15 Pro Max,30000000,2
2,Samsung Galaxy S24 Ultra,28000000,1
3,MacBook Pro M3,45000000,1
4,Tai nghe AirPods Pro 2,6000000,2
5,Bàn phím cơ Keychron Q1,4000000,1
1,iPhone 15 Pro Max,30000000,1
2,Samsung Galaxy S24 Ultra,28000000,2
3,MacBook Pro M3,45000000,1
4,Tai nghe AirPods Pro 2,6000000,1
5,Bàn phím cơ Keychron Q1,4000000,1
